Judul,Deskripsi,Status,Link
 Vaksin mRNA Tidak Direkomendasikan Selama Kehamilan,“Secara harfiah: Vaksin mRNA COVID-19 tidak direkomendasikan selama kehamilan. Berapa banyak wanita hamil dan menyusui melakukan jab di Eropa ? Saya tidak kaget ketika ada anak umur 11 bulan dan 3 tahun meninggal karena hepatitis di Inggris.”,Salah [Misleading Content],https://cekfakta.com/focus/9848
 Vaksin mRNA Menyebabkan Hepatitis Pada Anak,“https://dailyexpose.uk/2022/04/28/new-study-confirms-covid-jab-causes-hepatitis-kids/… sebuah artikel mengenai vaksin mRNA yg menyebabkan Hepatitis anak.,Salah [Misleading Content],https://cekfakta.com/focus/9847
 Akun WhatsApp Bupati Enrekang Melakukan Penggalangan Donasi Berupa Uang Untuk Pondok Pesantren dan PAUD,"“Assalamualaikum. wr wb”.
“sebelumnya saya perkenalkan saya dengan bpk H. Muslimin Bando selaku bupati Enrekang saya mau menggalang donasi berupa uang untuk berbagai yayasan ponpes dan sekolah paud. Apa benar ini saya berbicara dengan pengurus yayasan”.",Salah [Impostor Content],https://cekfakta.com/focus/9846
 Akun WhatsApp Wakil Bupati Bantul dengan Nomor “081213408053” Memberikan Donasi,"“Nomor WhatsApp 081213408053 mengatasnamakan Wakil Bupati Bantul, yaitu Joko. B. Purnomo”.",Salah [Impostor Content],https://cekfakta.com/focus/9845
 Akun WhatsApp Wali Kota Magelang dengan Nomor “081358908928” Melakukan Penggalangan Donasi Berupa Uang untuk Pondok Pesantren dan PAUD,"“Assalamualaikum. wr wb”.
“sebelumnya saya perkenalkan saya dengan bpk H. Muchamad Nur Aziz selaku walikota magelang saya mau menggalang donasi berupa uang untuk berbagai yayasan ponpes dan sekolah paud. Apa benar ini saya berbicara dengan pengurus yayasan /kpl sekolah paud”.",Salah [Impostor Content],https://cekfakta.com/focus/9844
 Mobil Esemka Goib,“Benar benar G01B… plat nomernya juga 9016 = goib”,Salah [Misleading Content],https://cekfakta.com/focus/9843
 Tabung Gas Meledak Saat Digoyang-goyang,"“Larangan keras !!!
Tolong gas tdk boleh digoyang2, sekalipun tabung gas kosong bisa menimbulkan ledakan yg dahsyat !!! Sebarkan.
Silahkan lihat gambar dua orang ini sedang memperbaiki tabung gas yg mampet dg cara digoyang2 akibatnya tabung meledak berkeping2 termasuk tubuh dua orang hancur , sekali lagi hati2 tabung jangan digoyang …… tolong bantu di share yg kpd yg belum tahu demi keselamatan teman & sdr kita.
Waspadalah !.”",Salah [Misleading Content],https://cekfakta.com/focus/9842
 Vlogger Meninggal Dunia Karena Memakan Tokek Beracun,"“Makan Tokek Beracun, Vlogger Ini Hembuskan Nafas Terakhir Saat Siaran Langsung, Netizen: “Nyari Duit Gitu Amet!” “
",Salah [False Connection],https://cekfakta.com/focus/9841
 Syahrini Menjadi Istri Simpanan Lelaki Tua,"“Terungkap Mertua Mulai Menjauh, Ibu Reino Barack Diduga Malu Tahu Syahrini Jadi Cewek Simpanan Lelaki Tua, Bikin Syok”",Salah [False Connection],https://cekfakta.com/focus/9840
 Pasien RSJ Dr Soeharto Heerdjan Kabur,"“Semprul.. ternyata yg gw bully selama ini cuman seonggok orang edan
Tuh kan… tiap yg benci pak Jokowi kebanyakan orang edan”
",Salah [Manipulated Content],https://cekfakta.com/focus/9839
 Marshel Widianto Resmi Menikah Dengan Celine Evangelista,"“Celine Evangelista, Marshel Widianto Kini Telah Resmi Menikah 🤲”",Salah [Misleading Content],https://cekfakta.com/focus/9838
 Lowongan Kerja Dinas Kesehatan Kabupaten Karanganyar,"“DINAS KESEHATAN Kab. KARANGANYAR
MEMBUTUHKAN POSISI
STAFF VAKSINASI BOOSTER (MIN D3/S1)
STAFF KANTOR PELAYANAN KESEHATAN (SMA/SMK)
TATA USAHA UMUM
Info Lengkap CP 085785556489
Alamat Kantor :
Jl. Lawu No. 168, Tegalgede, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah”.",Salah [Impostor Content],https://cekfakta.com/focus/9837
"Keliru, Video yang Diklaim Burung Garuda atau Jatayu yang Muncul di Hutan Gunung Penanggungan, Jawa Timur","
Salah satu akun di Facebook, membagikan  video  berdurasi 2:31 menit yang memperlihatkan sejumlah orang memotret sebuah burung berukuran besar. Burung tersebut diklaim burung garuda atau Jatayu dalam cerita Ramayana. 
Burung Jatayu tersebut diklaim menampakkan diri hutan Gunung Penanggungan, Jawa Timur.
“Ternyata Burung Garuda bukan hanya mitos atau dongeng. Dalam cerita Ramayana dia adalah Jatayu. Burung yang sangat jarang menampakan dirinya. Tapi baru2 ini garuda telah menampakan dirinya di daerah hutan gunung Penanggungan, Jawa timur. Burung yg sayapnya luar biasa lebar dan indah sekali,” tulis narasi si pemilik akun Facebook, 14 Mei 2022. Video itu sendiri telah ditonton 197 ribu kali hingga 23 Mei 2022.  
Benarkah burung dalam video itu adalah burung garuda atau jatayu?
Tangkapan layar unggahan video yang Diklaim Burung Garuda atau Jatayu yang Muncul di Hutan Gunung Penanggungan, Jawa Timur",Salah [-],https://cekfakta.com/focus/9836
"Keliru, Tepat Pada Hari ini, Jokowi Resmi Tunjuk Risma Gantikan Anies","
Video berjudul Tepat Pada Hari ini, Jokowi Resmi Tunjuk Risma Gantikan Anies?  beredar di Facebook pada 21 Mei 2022. Video ini diunggah di tengah rencana pengisian posisi penjabat Gubernur DKI Jakarta pada Oktober mendatang.
Berdurasi 8:06 menit, video itu berisi gabungan video aktivitas Anies Baswedan, mantan Gubernur DKI Jakarta Djarot Saiful Hidayat dan Basuki Tjahja Purnama. Narator dalam video itu membahas nama-nama kandidat yang dianggap layak menduduki posisi Pj Gubernur DKI Jakarta.
Namun benarkah Jokowi telah resmi menunjuk Tri Rismaharini atau Risma yang kini menjadi Menteri Sosial RI sebagai pengganti Anies Baswedan?
Tangkapan layar unggahan dengan klaim Jokowi Resmi Tunjuk Risma Gantikan Anies",Salah [-],https://cekfakta.com/focus/9835
 Video Perampokan Bersenjata Tewaskan Tiga Orang di Citra 6,"Beredar di media sosial postingan video yang menyebut ada perampokan bersenjata yang menewaskan tiga orang di Citra 6. Postingan itu beredar sejak tengah pekan ini.

Salah satu akun ada yang mempostingnya di Facebook. Akun itu mengunggahnya pada 21 Mei 2022.

Dalam postingannya terdapat video berdurasi 30 detik dengan narasi ""Perampokan bawa senjata api citra 6, 1,5 M/ 3 orang tewas.""

Dalam video si perekam mengucapkan ""Diinfokan untuk temen-temen di wilayah Citra 6 telah terjadi perampokan dengan bersenjata api. Tiga orang tewas nih. Di citra 6 telah terjadi perampokan senilai Rp 1,5 miliar. Kalau ada di Citra 6 merapat nih.""

Akun tersebut juga menambahkan narasi, ""Kabar Terkini…""",Salah [Misleading Content],https://cekfakta.com/focus/9834
 Foto “Remaja ini Tebas Leher Ayahnya karena Sakit Hati Adik Dihamili 3 Bulan dan Ibunya Disiram Minyak Panas”,"Beredar artikel berjudul “Sakit Hati Adik Dihamili 3 Bulan dan Ibunya Disiram Minyak Panas, Remaja ini Tebas Leher Ayahnya” yang terbit di situs liputanhariantv[dot]my.id pada 21 Mei 2022. Artikel ini juga memuat foto seseorang yang mengenakan baju tahanan dengan penutup wajah.",Salah [Misleading Content],https://cekfakta.com/focus/9833
 Kemampuan Orang Indonesia Dalam Membedakan Fakta & Hoax Adalah Nomor 1 Dari Belakang,Beredar sebuah pesan berantai Whatsapp yang menampilkan sebuah gambar grafik. Pada grafik tersebut diklaim merupakan hasil perhitungan kemampuan orang Indonesia dalam membedakan fakta dan hoax adalah nomor 1 dari belakang.,Salah [Misleading Content],https://cekfakta.com/focus/9832
"Menyesatkan, Nekat Masuk Wilayah Rusia, Jet Tempur Nato Berakhir Tragis","
Video berjudul  Nekat Masuk Wilayah Rusia, Jet Tempur Nato Berakhir Tragiiss  diunggah ke Facebook pada 15 Mei 2022. 
Sepanjang 8:49 menit, video itu berisi sejumlah rekaman persenjataan militer, mayoritas berupa rudal, yang diklaim milik Rusia.
Video itu beredar di tengah masih berlangsungnya konflik antara Rusia dan Ukraina sejak 24 Februari 2022. Namun benarkah video itu berisi jet tempur milik Pakta Pertahanan Atlantik Utara (NATO) yang berakhir tragis karena nekad memasuki wilayah Rusia?
Tangkapan layar unggahan video dengan klaim Nekat Masuk Wilayah Rusia, Jet Tempur Nato Berakhir Tragiiss",Salah [-],https://cekfakta.com/focus/9831
"Menyesatkan, Polandia Dilanda Kelaparan Pasca Akses Gas Rusia Diputus Total","
Video berjudul  Polandia Dilanda Kelaparan! Pasca Akses Gas Rusia Diputus Total  diunggah di Facebook pada 17 Mei 2022. 
Berdurasi 5:28 menit, video itu berisi gabungan sejumlah video lain yang menampilkan Presiden Rusia Vladimir Putin, Menteri Iklim Polandia, dan lain-lain. 
Narasi dalam video menyebutkan tentang penghentian pasokan gas oleh perusahaan Rusia, Gazprom, kepada Polandia dan Bulgaria.  
Benarkah Polandia dilanda kelaparan setelah akses gas Rusia diputus total?
Tangkapan layar unggahan video dengan klaim Polandia Dilanda Kelaparan Pasca Akses Gas Rusia Diputus Total",Salah [-],https://cekfakta.com/focus/9830
 Cek Gula Darah Gratis Menularkan Virus HIV,"Warning…. Perhatian jgn suka Cek2 darah yg di sebut Gratis atau tempat abal2,Hati2 Modus ini bisa terjadi… Waspadai para Guru /Kep.Sek serta Emak2 jangan Tergiur degan Gratisan Cek Gula Darah
Ini WA dari Pangdam IX Udayana
Assalamualaikum. Agar di WASPADAI!!!! … Dan segera Melaporkan jika ada Org yg Mengaku dari Fakultas Kedokteran ingin Mengukur/Cek Gula darah atau Pengambilan Sample darah … Gratis … Segera TOLAK dan LAPORKAN…
Waspada Dokter Palsu
Harap Kesedian anda untuk Bantu Menangkap Mereka dengan Cepat jika Anda menemui Orang-orang yang Berkunjung di depan pintu Anda dan Mereka mengatakan, Mereka berasal dari Fakultas Kedokteran untuk Bantu Mengukur Gula darah secara GRATIS,Segera Informasikan kepada POLISI karena ORANG-ORANG itu adalah Orang yg ingin MENGHANCURKAN INDONESIA. Mereka Berkunjung Dari Rumah ke Rumah untuk Menyebarkan VIRUS AIDS melalui Alat Suntik yang Mereka bawa,Kabar ini Berkembang setelah Warga Pasuruan, Jawa Timur banyak yang terinfeksi Virus AIDS setelah mendapat Cek Gula Darah Gratis dr Org yang mengaku dari Fakultas Kedokteran.
Hal yang serupa pun terjadi di daerah Jogya,Ada beberapa Orang yang di duga Terinfeksi AIDS setelah melakukan Suntik Cek Gula darah untuk Tes Gula darah yang sama di lakukan oleh Orangyang mengaku berasal dari Fakultas Kedokteran.
Laporan Warga kepada Kantor ke Polisian pun makin Marak,Masyarakat di minta untuk lebih WASPADA dan segera MELAPOR kepada APARAT POLISI bila ada hal yang SAMA terjadi di Daerah Anda, agar Dapat segera di TANGKAP beserta Barang Buktinya …
Dan ini sdh terjadi di SDN PATAS Gerokgak Buleleng tgl 17 juni 2019 jam 09.00. Tetapi Para Guru Curiga karena Mrk Memaksa utk Mengambil Darah, dgn Alasan Mengecek Darah Murid2.
Jangan LUPA segera minta KTP Mereka dan Laporkan secepatnya,Agar tidak timbul Korban lebih banyak lagi pada Anak2,Saudara,Sahabat,Org2 di sekitar Kita …
NB:
Bantu share…waspada🙏🙏🙏🙏

Penularan AIDS di sekolah dasar,di daerah buleleng
Cek darah gratis di seolah

",Salah [Fabricated Content],https://cekfakta.com/focus/9829
 Gelombang Panas Melanda Indonesia,"“AWAS..!!!!!*
GELOMBANG PANAS

KINI MELANDA NEGARA KITA

Indonesia, Malaysia,Singapura dan bbrp negara lain. saat ini sedang mengalami gelombang panas.

Apa tips yang harus dilakukan dan dihindari simak ya

*Harap perhatikan hal hal berikut ini😗

Seorang teman dokter datang ke saya mengatakan, cuaca sangat panas.
Di siang hari, bisa mencapai 40C.
*Katanya😗
”Pada 40 derajat, jangan Anda langsung minum air es! Pembuluh darah mikro bisa meledak. Seorang temannya, dari terkena terik matahari masuk ke rumah, mencuci kaki dengan air dingin. Pandangan mata jadi kabur, dia pun pingsan.

Suhu di beberapa tempat telah mncapai 38C atau lebih.
Dlm kondisi ini, jaga suhu tubuh agar lebih tinggi.
Bahaya ini tak hanya dari minum air es/dingin. Bahaya ini dapat terjadi bahkan sekedar mencuci tangan/muka/ kaki.
Anda tidak boleh menyiram/menyeka bagian tubuh yg panas terkena sengatan terik, dengan air dingin.
Anda membutuhkan sekitar 30 menit untuk membuat tubuh menjadi dingin sesuai suhu dalam ruangan.
Minumlah air hangat suam, 34-36 Celcius.
Seorang dokter di rumah sakit, memeriksa seorang pria yang sangat sehat. 3 tahun kemudian, dokter tsb bertemu pria itu lagi dalam kondisi stroke.
*Pria itu pun bercerita😗
“Beberapa waktu lalu, hari amat panas. Setelah kembali ke rumah, agar cepat dingin, saya segera mandi air dingin. Lalu, saya tidak dapat menggerakkan rahang dengan benar. Segera saya panggil ambulans untuk membawaku ke rumah sakit..”

Ingat, terutama di hari yang panas, hindari air dingin karena akan menyebabkan kontraksi pembuluh darah yang cepat.

Yang di rumah ada anak kecil, harus memberi tahu pembantu dan seisi rumah tentang hal ini.

*
Akhir-akhir ini cuaca panas di atas normal
Walau mungkin kita rasa nyaman bila minum dingin.., namun, itu sangat berbahaya !
*
Hindari meneguk langsung minuman. Minumlah sedikit-demi sedikit, dengan perlahan

Tebarkan pesan ini ke keluarga-kerabat sekitar.
Ini bisa menyelamatkan nyawa!”",Salah [Misleading Content],https://cekfakta.com/focus/9828
 Pesan WhatsApp Bupati Situbondo Karna Siswandi Dengan Nomor “082143626610” Menawarkan Bantuan,“Perkenalkan saya Bupati Situbondo”. Dana donasi ke dana .””Alhamdulillah bisa di lembaga nya””Bentar lagi akan dihubungi sekretaris saya Bpk”,Salah [Impostor Content],https://cekfakta.com/focus/9827
 Akun WhatsApp Ketua Fraksi NasDem DPRD DKI Jakarta Wibi Andrino “081262592219”,"“Asslm.. “
“Halo bro.. “
“Yes bro”
“Wlkmslm”
“Lagi dmn bro”
“Slmat menunaikan ibadah puasa”
“Lagi dmn ini bro? ” “Sibuk atau bgmn?”",Salah [Impostor Content],https://cekfakta.com/focus/9826
 Akun WhatsApp Bupati Bantaeng Ilham Azikin “081233588590”,"“Assalamualaikum “
“Waalaikum mussalam wr wb”
“Untuk pembangunan sudah sampai tahap mana pak”
“Maksudnya pak”
“Bisa membantu saya untuk menyalurkan dana donasi ke lembaga yg membutuhkan”

“dalam bentuk apa bantuannya pak. Maaf kebetulan sy liat profi, potonya bapak ini ?”",Salah [Impostor Content],https://cekfakta.com/focus/9825
